Nome: JUIZ DE FORA
Codigo Estacao: A518
Latitude: -21.769965
Longitude: -43.364329
Altitude: 936.88
Situacao: Operante
Data Inicial: 2007-05-25
Data Final: 2020-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-05-25;null;null;null;null;null;null;
2007-05-26;null;null;null;null;null;null;
2007-05-27;.8;19.4;14.545833;11.1;82.958333;2.608333;
2007-05-28;6.6;20.3;15.7125;12.7;83.916667;2.641667;
2007-05-29;0;21.1;16.458333;14.3;86.166667;2.770833;
2007-05-30;0;14.6;11.0875;9.6;88.583333;4.4125;
2007-05-31;0;14;11.104348;8.3;85.956522;3.078261;
2007-06-01;0;19.3;14.070833;11.2;86.916667;3.525;
2007-06-02;0;24;16.875;12.7;83.75;3.679167;
2007-06-03;3.2;23;17.8875;15.7;90.5;3.270833;
2007-06-04;2.8;17.2;13.358333;10.4;80.083333;3.316667;
2007-06-05;0;18.5;13.291667;9.2;79.458333;2.2125;
2007-06-06;0;21.6;15.241667;12.3;82.791667;1.708333;
2007-06-07;0;23.1;16.730435;12.1;78.521739;2.226087;
2007-06-08;0;24.7;18.9125;14.7;75.083333;2.445833;
2007-06-09;0;23.9;19.3375;15.7;74.541667;1.716667;
2007-06-10;0;24.5;18.979167;14.8;75.291667;2.254167;
2007-06-11;null;23.1;null;15.4;67.9;3.045;
2007-06-12;0;24.8;18.7375;14.5;69.458333;3.166667;
2007-06-13;0;23.8;18.425;13.4;70.583333;2.545833;
2007-06-14;0;26.2;19.075;14.5;73.958333;2.966667;
2007-06-15;0;24.5;18.4125;13.6;81.416667;3.433333;
2007-06-16;0;26.3;19.125;14.8;73.75;3.5875;
2007-06-17;0;19.2;16.316667;15.1;89.458333;2.366667;
2007-06-18;.4;23.8;17.608333;12.8;78.125;2.141667;
2007-06-19;0;22.7;17.7625;13;71.333333;2.983333;
2007-06-20;0;20.6;16.341667;13.1;75;2.845833;
2007-06-21;0;21.4;16.579167;12.6;77.291667;2.858333;
2007-06-22;0;22.2;17.595833;13;69.125;3.266667;
2007-06-23;0;25.3;18.433333;13.3;67.166667;2.758333;
2007-06-24;0;23.8;18.183333;13;67.041667;3.316667;
2007-06-25;0;21.9;16.775;13.9;80.75;2.804167;
2007-06-26;0;19.7;15.95;13.4;84.875;2.9;
2007-06-27;0;20.3;16.191667;14;86.833333;2.441667;
2007-06-28;0;24;18.066667;13.8;71.625;3.35;
2007-06-29;0;21.5;17.479167;13.7;78.166667;2.504167;
2007-06-30;0;21.8;16.883333;14.3;87.666667;2.0375;
2007-07-01;0;20.8;16.841667;14.3;83.333333;1.820833;
2007-07-02;0;21.7;15.625;11.9;84.125;1.729167;
2007-07-03;.2;19.9;15.554167;13.2;86.125;2.025;
2007-07-04;.4;22.1;16.129167;10.9;80.833333;2.683333;
2007-07-05;0;22.6;17.3375;12.9;73.875;3.504167;
2007-07-06;0;22.2;17.795833;14.5;72.166667;3.233333;
2007-07-07;0;22.6;17.558333;13.6;64.208333;3.3625;
2007-07-08;0;24.3;18.491667;14.6;65.375;3.441667;
2007-07-09;0;24.3;18.879167;14.4;68.791667;3.283333;
2007-07-10;0;23.9;18.679167;15;66.666667;3.358333;
2007-07-11;0;24.9;18.033333;14;73.166667;4;
2007-07-12;0;20.3;16.045833;13.5;85.833333;2.945833;
2007-07-13;0;21.7;16.979167;14.1;78.291667;2.670833;
2007-07-14;0;23.6;17.995833;13.6;62.25;3.079167;
2007-07-15;0;26.2;19.129167;14.7;60.041667;3.566667;
2007-07-16;0;23.3;17.4125;13.7;79.25;2.745833;
2007-07-17;0;22;17.45;14.7;84.25;2.291667;
2007-07-18;0;22.1;18.545833;15.7;68.916667;4.5;
2007-07-19;0;19.8;15.308333;11.5;71.958333;3.6;
2007-07-20;0;20.7;14.1375;9.2;84.083333;2.8375;
2007-07-21;0;23.8;17.5375;12.7;79;3.2;
2007-07-22;0;25.6;19.654167;14.5;66.041667;4.033333;
2007-07-23;0;28.3;20.958333;16.1;62.166667;3.775;
2007-07-24;1;22.6;18.769565;16.3;85.869565;2.569565;
2007-07-25;0;24.7;19.354167;17;75.666667;4.541667;
2007-07-26;0;18.9;14.425;11.5;82.083333;3.816667;
2007-07-27;1.4;13.3;12.104167;10.8;98.708333;2.3625;
2007-07-28;1.6;13.3;12.156522;11.3;98.391304;3.66087;
2007-07-29;0;13;10.208333;8.8;85.166667;7.166667;
2007-07-30;.2;15.2;9.804167;6;75;3.529167;
2007-07-31;0;18.3;12.379167;7.4;68;3.4;
2007-08-01;0;21.2;15.191667;9.9;63.375;3.058333;
2007-08-02;0;22.6;16.929167;12.3;61.208333;2.325;
2007-08-03;0;22.4;17.216667;13.4;61.083333;2.7875;
2007-08-04;0;22.3;16.666667;11.7;70.875;3.15;
2007-08-05;0;24.7;17.641667;14.2;66.916667;3.570833;
2007-08-06;0;21.4;15.8;12.8;79.826087;3.304348;
2007-08-07;0;25.2;18.104348;12.4;72.782609;3.352174;
2007-08-08;0;25.5;19.895833;15.8;57.541667;4.179167;
2007-08-09;0;22.7;17.679167;13.9;73.75;3.35;
2007-08-10;0;22.4;17.358333;13.1;71.833333;3.016667;
2007-08-11;0;23.7;18.758333;13.9;63.75;2.466667;
2007-08-12;0;20.7;15.754167;13;82.875;3.258333;
2007-08-13;0;23.2;17.1375;13.5;75.208333;2.808333;
2007-08-14;0;22.8;17.1;13.8;74.25;3.608333;
2007-08-15;0;22.4;17.120833;13.7;73.75;3.058333;
2007-08-16;0;22.3;16.445833;12.1;71;2.325;
